날짜,스트레스,취업
2021-03-01,34.69387,47.95918
2021-03-02,34.69387,77.55102
2021-03-03,32.65306,62.24489
2021-03-04,37.7551,61.22448
2021-03-05,28.57142,38.77551
2021-03-06,19.38775,30.61224
2021-03-07,28.57142,58.16326
2021-03-08,35.71428,100.0
2021-03-09,35.71428,73.46938
2021-03-10,35.71428,77.55102
2021-03-11,36.73469,52.04081
2021-03-12,25.5102,53.06122
2021-03-13,15.30612,32.65306
2021-03-14,25.5102,33.67346
2021-03-15,39.79591,61.22448
2021-03-16,39.79591,64.28571
2021-03-17,35.71428,58.16326
2021-03-18,39.79591,57.14285
2021-03-19,24.48979,52.04081
2021-03-20,28.57142,47.95918
2021-03-21,17.34693,51.0204
2021-03-22,40.81632,72.44897
2021-03-23,36.73469,66.32653
2021-03-24,24.48979,61.22448
2021-03-25,30.61224,44.89795
2021-03-26,46.93877,50.0
2021-03-27,21.42857,46.93877
2021-03-28,18.36734,37.7551
2021-03-29,34.69387,50.0
2021-03-30,31.63265,60.20408
2021-03-31,28.57142,61.22448
2021-04-01,32.65306,70.40816
2021-04-02,25.5102,45.91836
2021-04-03,25.5102,46.93877
2021-04-04,19.38775,52.04081
2021-04-05,32.65306,66.32653
2021-04-06,45.91836,56.12244
2021-04-07,28.57142,53.06122
2021-04-08,31.63265,40.81632
2021-04-09,27.55102,41.83673
2021-04-10,17.34693,36.73469
2021-04-11,27.55102,37.7551
2021-04-12,28.57142,56.12244
2021-04-13,28.57142,46.93877
2021-04-14,38.77551,57.14285
2021-04-15,28.57142,54.08163
2021-04-16,37.7551,31.63265
2021-04-17,19.38775,34.69387
2021-04-18,20.40816,36.73469
2021-04-19,38.77551,62.24489
2021-04-20,40.81632,73.46938
2021-04-21,31.63265,55.10204
2021-04-22,31.63265,57.14285
2021-04-23,34.69387,40.81632
2021-04-24,32.65306,27.55102
2021-04-25,19.38775,28.57142
2021-04-26,29.59183,44.89795
2021-04-27,42.85714,41.83673
2021-04-28,27.55102,43.87755
2021-04-29,26.53061,59.18367
2021-04-30,31.63265,40.81632
2021-05-01,19.38775,34.69387
2021-05-02,21.42857,31.63265
2021-05-03,29.59183,62.24489
2021-05-04,27.55102,32.65306
2021-05-05,26.53061,32.65306
2021-05-06,39.79591,64.28571
2021-05-07,26.53061,34.69387
2021-05-08,21.42857,30.61224
2021-05-09,23.46938,44.89795
2021-05-10,24.48979,43.87755
2021-05-11,38.77551,69.38775
2021-05-12,31.63265,62.24489
2021-05-13,34.69387,58.16326
2021-05-14,29.59183,48.97959
2021-05-15,20.40816,43.87755
2021-05-16,18.36734,29.59183
2021-05-17,33.67346,47.95918
2021-05-18,20.40816,39.79591
2021-05-19,24.48979,36.73469
2021-05-20,35.71428,56.12244
2021-05-21,35.71428,44.89795
2021-05-22,23.46938,28.57142
2021-05-23,19.38775,40.81632
2021-05-24,35.71428,56.12244
2021-05-25,34.69387,57.14285
2021-05-26,46.93877,60.20408
2021-05-27,22.44897,52.04081
2021-05-28,25.5102,48.97959
2021-05-29,24.48979,26.53061
2021-05-30,19.38775,26.53061
2021-05-31,39.79591,43.87755
2021-06-01,36.73469,59.18367
2021-06-02,35.71428,38.77551
2021-06-03,38.77551,40.81632
2021-06-04,24.48979,46.93877
2021-06-05,18.36734,29.59183
2021-06-06,19.38775,40.81632
2021-06-07,32.65306,71.42857
2021-06-08,47.95918,68.36734
2021-06-09,38.77551,50.0
2021-06-10,34.69387,41.83673
2021-06-11,27.55102,51.0204
2021-06-12,25.5102,28.57142
2021-06-13,25.5102,27.55102
2021-06-14,37.7551,51.0204
2021-06-15,26.53061,52.04081
2021-06-16,34.69387,54.08163
2021-06-17,30.61224,54.08163
2021-06-18,32.65306,35.71428
2021-06-19,31.63265,29.59183
2021-06-20,35.71428,23.46938
2021-06-21,30.61224,45.91836
2021-06-22,31.63265,56.12244
2021-06-23,37.7551,62.24489
2021-06-24,29.59183,45.91836
2021-06-25,48.97959,35.71428
2021-06-26,24.48979,44.89795
2021-06-27,25.5102,41.83673
2021-06-28,35.71428,48.97959
2021-06-29,34.69387,40.81632
2021-06-30,40.81632,46.93877
2021-07-01,29.59183,46.93877
2021-07-02,30.61224,57.14285
2021-07-03,14.28571,26.53061
2021-07-04,18.36734,38.77551
2021-07-05,28.57142,60.20408
2021-07-06,35.71428,57.14285
2021-07-07,33.67346,50.0
2021-07-08,34.69387,55.10204
2021-07-09,25.5102,46.93877
2021-07-10,20.40816,25.5102
2021-07-11,20.40816,40.81632
2021-07-12,29.59183,61.22448
2021-07-13,35.71428,58.16326
2021-07-14,29.59183,51.0204
2021-07-15,32.65306,48.97959
2021-07-16,38.77551,54.08163
2021-07-17,23.46938,25.5102
2021-07-18,20.40816,50.0
2021-07-19,32.65306,53.06122
2021-07-20,31.63265,60.20408
2021-07-21,33.67346,59.18367
2021-07-22,39.79591,55.10204
2021-07-23,24.48979,55.10204
2021-07-24,20.40816,32.65306
2021-07-25,14.28571,35.71428
2021-07-26,25.5102,40.81632
2021-07-27,32.65306,44.89795
2021-07-28,34.69387,39.79591
2021-07-29,33.67346,52.04081
2021-07-30,37.7551,40.81632
2021-07-31,16.32653,24.48979
2021-08-01,21.42857,39.79591
2021-08-02,26.53061,52.04081
2021-08-03,21.42857,56.12244
2021-08-04,31.63265,53.06122
2021-08-05,21.42857,50.0
2021-08-06,30.61224,40.81632
2021-08-07,16.32653,29.59183
2021-08-08,21.42857,22.44897
2021-08-09,28.57142,62.24489
2021-08-10,29.59183,64.28571
2021-08-11,24.48979,47.95918
2021-08-12,43.87755,48.97959
2021-08-13,34.69387,38.77551
2021-08-14,15.30612,35.71428
2021-08-15,13.2653,34.69387
2021-08-16,20.40816,47.95918
2021-08-17,16.32653,54.08163
2021-08-18,36.73469,45.91836
2021-08-19,31.63265,42.85714
2021-08-20,21.42857,39.79591
2021-08-21,19.38775,36.73469
2021-08-22,25.5102,35.71428
2021-08-23,48.97959,51.0204
2021-08-24,25.5102,47.95918
2021-08-25,30.61224,41.83673
2021-08-26,40.81632,39.79591
2021-08-27,31.63265,63.2653
2021-08-28,29.59183,47.95918
2021-08-29,22.44897,29.59183
2021-08-30,22.44897,57.14285
2021-08-31,26.53061,52.04081
2021-09-01,38.77551,47.95918
2021-09-02,37.7551,46.93877
2021-09-03,28.57142,38.77551
2021-09-04,20.40816,30.61224
2021-09-05,23.46938,29.59183
2021-09-06,32.65306,58.16326
2021-09-07,31.63265,52.04081
2021-09-08,22.44897,56.12244
2021-09-09,32.65306,33.67346
2021-09-10,30.61224,37.7551
2021-09-11,20.40816,18.36734
2021-09-12,19.38775,36.73469
2021-09-13,28.57142,53.06122
2021-09-14,32.65306,47.95918
2021-09-15,29.59183,64.28571
2021-09-16,31.63265,47.95918
2021-09-17,29.59183,37.7551
2021-09-18,19.38775,18.36734
2021-09-19,18.36734,37.7551
2021-09-20,20.40816,19.38775
2021-09-21,20.40816,34.69387
2021-09-22,23.46938,24.48979
2021-09-23,24.48979,42.85714
2021-09-24,23.46938,47.95918
2021-09-25,21.42857,33.67346
2021-09-26,20.40816,40.81632
2021-09-27,35.71428,54.08163
2021-09-28,26.53061,58.16326
2021-09-29,27.55102,35.71428
2021-09-30,21.42857,41.83673
2021-10-01,21.42857,35.71428
2021-10-02,23.46938,18.36734
2021-10-03,13.2653,17.34693
2021-10-04,31.63265,44.89795
2021-10-05,31.63265,52.04081
2021-10-06,15.30612,34.69387
2021-10-07,28.57142,39.79591
2021-10-08,32.65306,34.69387
2021-10-09,14.28571,37.7551
2021-10-10,23.46938,27.55102
2021-10-11,24.48979,40.81632
2021-10-12,27.55102,45.91836
2021-10-13,28.57142,61.22448
2021-10-14,37.7551,48.97959
2021-10-15,35.71428,29.59183
2021-10-16,18.36734,22.44897
2021-10-17,20.40816,23.46938
2021-10-18,23.46938,48.97959
2021-10-19,29.59183,43.87755
2021-10-20,25.5102,45.91836
2021-10-21,24.48979,40.81632
2021-10-22,24.48979,46.93877
2021-10-23,18.36734,25.5102
2021-10-24,21.42857,25.5102
2021-10-25,17.34693,40.81632
2021-10-26,26.53061,53.06122
2021-10-27,20.40816,43.87755
2021-10-28,19.38775,37.7551
2021-10-29,18.36734,47.95918
2021-10-30,20.40816,15.30612
2021-10-31,16.32653,31.63265
2021-11-01,23.46938,52.04081
2021-11-02,12.24489,37.7551
2021-11-03,21.42857,38.77551
2021-11-04,21.42857,35.71428
2021-11-05,22.44897,26.53061
2021-11-06,14.28571,26.53061
2021-11-07,26.53061,22.44897
2021-11-08,21.42857,43.87755
2021-11-09,26.53061,53.06122
2021-11-10,23.46938,46.93877
2021-11-11,33.67346,39.79591
2021-11-12,21.42857,23.46938
2021-11-13,13.2653,16.32653
2021-11-14,22.44897,40.81632
2021-11-15,29.59183,51.0204
2021-11-16,26.53061,38.77551
2021-11-17,30.61224,41.83673
2021-11-18,28.57142,51.0204
2021-11-19,26.53061,41.83673
2021-11-20,26.53061,25.5102
2021-11-21,21.42857,25.5102
2021-11-22,29.59183,39.79591
2021-11-23,27.55102,44.89795
2021-11-24,32.65306,37.7551
2021-11-25,36.73469,39.79591
2021-11-26,29.59183,22.44897
2021-11-27,9.18367,13.2653
2021-11-28,19.38775,33.67346
2021-11-29,29.59183,35.71428
2021-11-30,23.46938,40.81632
2021-12-01,24.48979,64.28571
2021-12-02,21.42857,27.55102
2021-12-03,24.48979,27.55102
2021-12-04,18.36734,16.32653
2021-12-05,13.2653,32.65306
2021-12-06,37.7551,51.0204
2021-12-07,23.46938,45.91836
2021-12-08,30.61224,46.93877
2021-12-09,11.22448,36.73469
2021-12-10,31.63265,40.81632
2021-12-11,23.46938,23.46938
2021-12-12,24.48979,18.36734
2021-12-13,30.61224,58.16326
2021-12-14,21.42857,51.0204
2021-12-15,43.87755,43.87755
2021-12-16,17.34693,46.93877
2021-12-17,18.36734,31.63265
2021-12-18,11.22448,27.55102
2021-12-19,14.28571,25.5102
2021-12-20,13.2653,41.83673
2021-12-21,15.30612,63.2653
2021-12-22,26.53061,37.7551
2021-12-23,21.42857,31.63265
2021-12-24,14.28571,37.7551
2021-12-25,12.24489,24.48979
2021-12-26,13.2653,30.61224
2021-12-27,16.32653,37.7551
2021-12-28,26.53061,66.32653
2021-12-29,15.30612,40.81632
2021-12-30,22.44897,37.7551
2021-12-31,18.36734,34.69387
2022-01-01,17.34693,24.48979
2022-01-02,19.38775,32.65306
2022-01-03,31.63265,52.04081
2022-01-04,23.46938,82.65306
2022-01-05,27.55102,45.91836
2022-01-06,25.5102,46.93877
2022-01-07,23.46938,48.97959
2022-01-08,21.42857,25.5102
2022-01-09,29.59183,40.81632
2022-01-10,36.73469,55.10204
2022-01-11,25.5102,41.83673
2022-01-12,21.42857,63.2653
2022-01-13,33.67346,61.22448
2022-01-14,26.53061,34.69387
2022-01-15,26.53061,23.46938
2022-01-16,22.44897,31.63265
2022-01-17,30.61224,61.22448
2022-01-18,28.57142,43.87755
2022-01-19,27.55102,47.95918
2022-01-20,27.55102,43.87755
2022-01-21,25.5102,39.79591
2022-01-22,16.32653,30.61224
2022-01-23,23.46938,28.57142
2022-01-24,34.69387,60.20408
2022-01-25,30.61224,47.95918
2022-01-26,47.95918,48.97959
2022-01-27,34.69387,28.57142
2022-01-28,19.38775,34.69387
2022-01-29,16.32653,23.46938
2022-01-30,23.46938,34.69387
2022-01-31,22.44897,15.30612
2022-02-01,17.34693,17.34693
2022-02-02,30.61224,42.85714
2022-02-03,36.73469,63.2653
2022-02-04,21.42857,41.83673
2022-02-05,21.42857,42.85714
2022-02-06,27.55102,34.69387
2022-02-07,30.61224,64.28571
2022-02-08,33.67346,56.12244
2022-02-09,28.57142,40.81632
2022-02-10,34.69387,44.89795
2022-02-11,32.65306,47.95918
2022-02-12,37.7551,28.57142
2022-02-13,17.34693,45.91836
2022-02-14,39.79591,72.44897
2022-02-15,33.67346,56.12244
2022-02-16,30.61224,72.44897
2022-02-17,22.44897,60.20408
2022-02-18,38.77551,41.83673
2022-02-19,23.46938,29.59183
2022-02-20,16.32653,33.67346
2022-02-21,29.59183,62.24489
2022-02-22,22.44897,52.04081
2022-02-23,30.61224,39.79591
2022-02-24,23.46938,41.83673
2022-02-25,27.55102,52.04081
2022-02-26,18.36734,29.59183
2022-02-27,11.22448,36.73469
2022-02-28,42.85714,61.22448
2022-03-01,28.57142,35.71428
2022-03-02,36.73469,51.0204
2022-03-03,38.77551,50.0
2022-03-04,28.57142,33.67346
2022-03-05,22.44897,33.67346
2022-03-06,25.5102,43.87755
2022-03-07,27.55102,42.85714
2022-03-08,19.38775,44.89795
2022-03-09,19.38775,29.59183
2022-03-10,15.30612,51.0204
2022-03-11,20.40816,37.7551
2022-03-12,20.40816,22.44897
2022-03-13,38.77551,39.79591
2022-03-14,34.69387,59.18367
2022-03-15,32.65306,39.79591
2022-03-16,39.79591,48.97959
2022-03-17,22.44897,59.18367
2022-03-18,24.48979,59.18367
2022-03-19,16.32653,19.38775
2022-03-20,24.48979,39.79591
2022-03-21,30.61224,55.10204
2022-03-22,32.65306,48.97959
2022-03-23,33.67346,54.08163
2022-03-24,38.77551,52.04081
2022-03-25,30.61224,60.20408
2022-03-26,16.32653,28.57142
2022-03-27,20.40816,26.53061
2022-03-28,33.67346,50.0
2022-03-29,23.46938,64.28571
2022-03-30,33.67346,36.73469
2022-03-31,34.69387,51.0204
2022-04-01,19.38775,36.73469
2022-04-02,19.38775,27.55102
2022-04-03,23.46938,31.63265
2022-04-04,26.53061,45.91836
2022-04-05,35.71428,47.95918
2022-04-06,33.67346,41.83673
2022-04-07,35.71428,48.97959
2022-04-08,28.57142,53.06122
2022-04-09,26.53061,27.55102
2022-04-10,22.44897,34.69387
2022-04-11,26.53061,58.16326
2022-04-12,44.89795,45.91836
2022-04-13,25.5102,50.0
2022-04-14,32.65306,55.10204
2022-04-15,27.55102,38.77551
2022-04-16,18.36734,26.53061
2022-04-17,21.42857,21.42857
2022-04-18,33.67346,43.87755
2022-04-19,23.46938,56.12244
2022-04-20,38.77551,37.7551
2022-04-21,36.73469,44.89795
2022-04-22,27.55102,23.46938
2022-04-23,34.69387,35.71428
2022-04-24,18.36734,40.81632
2022-04-25,20.40816,51.0204
2022-04-26,40.81632,55.10204
2022-04-27,27.55102,42.85714
2022-04-28,32.65306,51.0204
2022-04-29,31.63265,30.61224
2022-04-30,24.48979,16.32653
2022-05-01,18.36734,19.38775
2022-05-02,43.87755,46.93877
2022-05-03,23.46938,53.06122
2022-05-04,26.53061,30.61224
2022-05-05,19.38775,21.42857
2022-05-06,25.5102,38.77551
2022-05-07,14.28571,28.57142
2022-05-08,23.46938,31.63265
2022-05-09,28.57142,66.32653
2022-05-10,25.5102,36.73469
2022-05-11,29.59183,52.04081
2022-05-12,25.5102,36.73469
2022-05-13,27.55102,36.73469
2022-05-14,21.42857,19.38775
2022-05-15,20.40816,20.40816
2022-05-16,25.5102,41.83673
2022-05-17,32.65306,37.7551
2022-05-18,43.87755,45.91836
2022-05-19,36.73469,41.83673
2022-05-20,37.7551,38.77551
2022-05-21,25.5102,15.30612
2022-05-22,27.55102,27.55102
2022-05-23,34.69387,39.79591
2022-05-24,38.77551,48.97959
2022-05-25,35.71428,39.79591
2022-05-26,33.67346,27.55102
2022-05-27,28.57142,31.63265
2022-05-28,20.40816,25.5102
2022-05-29,23.46938,34.69387
2022-05-30,43.87755,47.95918
2022-05-31,36.73469,42.85714
2022-06-01,29.59183,30.61224
2022-06-02,19.38775,30.61224
2022-06-03,22.44897,36.73469
2022-06-04,26.53061,24.48979
2022-06-05,18.36734,34.69387
2022-06-06,23.46938,47.95918
2022-06-07,30.61224,59.18367
2022-06-08,28.57142,35.71428
2022-06-09,41.83673,37.7551
2022-06-10,22.44897,30.61224
2022-06-11,19.38775,24.48979
2022-06-12,22.44897,24.48979
2022-06-13,32.65306,57.14285
2022-06-14,23.46938,53.06122
2022-06-15,29.59183,57.14285
2022-06-16,32.65306,39.79591
2022-06-17,29.59183,43.87755
2022-06-18,23.46938,37.7551
2022-06-19,23.46938,40.81632
2022-06-20,18.36734,62.24489
2022-06-21,27.55102,45.91836
2022-06-22,20.40816,51.0204
2022-06-23,32.65306,41.83673
2022-06-24,20.40816,41.83673
2022-06-25,26.53061,26.53061
2022-06-26,24.48979,24.48979
2022-06-27,25.5102,32.65306
2022-06-28,19.38775,47.95918
2022-06-29,29.59183,51.0204
2022-06-30,31.63265,38.77551
2022-07-01,24.48979,39.79591
2022-07-02,15.30612,35.71428
2022-07-03,24.48979,24.48979
2022-07-04,29.59183,56.12244
2022-07-05,38.77551,33.67346
2022-07-06,38.77551,36.73469
2022-07-07,30.61224,44.89795
2022-07-08,25.5102,24.48979
2022-07-09,24.48979,16.32653
2022-07-10,20.40816,20.40816
2022-07-11,28.57142,60.20408
2022-07-12,24.48979,41.83673
2022-07-13,15.30612,39.79591
2022-07-14,28.57142,55.10204
2022-07-15,36.73469,29.59183
2022-07-16,18.36734,20.40816
2022-07-17,11.22448,25.5102
2022-07-18,25.5102,38.77551
2022-07-19,30.61224,51.0204
2022-07-20,26.53061,42.85714
2022-07-21,23.46938,44.89795
2022-07-22,31.63265,34.69387
2022-07-23,19.38775,28.57142
2022-07-24,28.57142,30.61224
2022-07-25,23.46938,31.63265
2022-07-26,27.55102,39.79591
2022-07-27,19.38775,34.69387
2022-07-28,32.65306,32.65306
2022-07-29,25.5102,34.69387
2022-07-30,19.38775,18.36734
2022-07-31,14.28571,24.48979
2022-08-01,25.5102,48.97959
2022-08-02,21.42857,41.83673
2022-08-03,21.42857,23.46938
2022-08-04,17.34693,30.61224
2022-08-05,19.38775,27.55102
2022-08-06,14.28571,23.46938
2022-08-07,24.48979,16.32653
2022-08-08,20.40816,44.89795
2022-08-09,24.48979,33.67346
2022-08-10,22.44897,38.77551
2022-08-11,32.65306,35.71428
2022-08-12,27.55102,25.5102
2022-08-13,22.44897,17.34693
2022-08-14,22.44897,26.53061
2022-08-15,15.30612,23.46938
2022-08-16,24.48979,38.77551
2022-08-17,32.65306,27.55102
2022-08-18,35.71428,24.48979
2022-08-19,23.46938,44.89795
2022-08-20,25.5102,29.59183
2022-08-21,17.34693,33.67346
2022-08-22,30.61224,34.69387
2022-08-23,33.67346,50.0
2022-08-24,25.5102,34.69387
2022-08-25,30.61224,42.85714
2022-08-26,23.46938,23.46938
2022-08-27,23.46938,19.38775
2022-08-28,14.28571,28.57142
2022-08-29,26.53061,41.83673
2022-08-30,27.55102,43.87755
2022-08-31,37.7551,52.04081
2022-09-01,30.61224,39.79591
2022-09-02,28.57142,30.61224
2022-09-03,24.48979,22.44897
2022-09-04,16.32653,21.42857
2022-09-05,21.42857,46.93877
2022-09-06,27.55102,26.53061
2022-09-07,25.5102,38.77551
2022-09-08,22.44897,26.53061
2022-09-09,13.2653,17.34693
2022-09-10,17.34693,15.30612
2022-09-11,13.2653,18.36734
2022-09-12,23.46938,46.93877
2022-09-13,33.67346,47.95918
2022-09-14,44.89795,44.89795
2022-09-15,29.59183,38.77551
2022-09-16,26.53061,38.77551
2022-09-17,11.22448,26.53061
2022-09-18,20.40816,27.55102
2022-09-19,26.53061,43.87755
2022-09-20,26.53061,29.59183
2022-09-21,26.53061,47.95918
2022-09-22,35.71428,30.61224
2022-09-23,26.53061,31.63265
2022-09-24,15.30612,19.38775
2022-09-25,15.30612,23.46938
2022-09-26,43.87755,61.22448
2022-09-27,24.48979,39.79591
2022-09-28,32.65306,37.7551
2022-09-29,20.40816,23.46938
2022-09-30,26.53061,29.59183
2022-10-01,21.42857,16.32653
2022-10-02,12.24489,22.44897
2022-10-03,24.48979,27.55102
2022-10-04,27.55102,56.12244
2022-10-05,27.55102,43.87755
2022-10-06,28.57142,34.69387
2022-10-07,27.55102,46.93877
2022-10-08,21.42857,14.28571
2022-10-09,16.32653,14.28571
2022-10-10,21.42857,30.61224
2022-10-11,28.57142,32.65306
2022-10-12,33.67346,47.95918
2022-10-13,35.71428,46.93877
2022-10-14,30.61224,22.44897
2022-10-15,26.53061,27.55102
2022-10-16,24.48979,26.53061
2022-10-17,28.57142,51.0204
2022-10-18,35.71428,50.0
2022-10-19,38.77551,41.83673
2022-10-20,38.77551,40.81632
2022-10-21,34.69387,29.59183
2022-10-22,13.2653,23.46938
2022-10-23,26.53061,27.55102
2022-10-24,34.69387,39.79591
2022-10-25,26.53061,45.91836
2022-10-26,22.44897,34.69387
2022-10-27,44.89795,29.59183
2022-10-28,21.42857,33.67346
2022-10-29,19.38775,15.30612
2022-10-30,22.44897,17.34693
2022-10-31,23.46938,43.87755
2022-11-01,26.53061,43.87755
2022-11-02,20.40816,35.71428
2022-11-03,29.59183,30.61224
2022-11-04,22.44897,33.67346
2022-11-05,18.36734,16.32653
2022-11-06,13.2653,20.40816
2022-11-07,46.93877,31.63265
2022-11-08,32.65306,47.95918
2022-11-09,27.55102,50.0
2022-11-10,35.71428,37.7551
2022-11-11,21.42857,34.69387
2022-11-12,26.53061,19.38775
2022-11-13,13.2653,17.34693
2022-11-14,33.67346,36.73469
2022-11-15,28.57142,50.0
2022-11-16,20.40816,46.93877
2022-11-17,19.38775,29.59183
2022-11-18,22.44897,43.87755
2022-11-19,23.46938,16.32653
2022-11-20,15.30612,26.53061
2022-11-21,29.59183,36.73469
2022-11-22,35.71428,29.59183
2022-11-23,19.38775,27.55102
2022-11-24,30.61224,25.5102
2022-11-25,24.48979,17.34693
2022-11-26,21.42857,22.44897
2022-11-27,15.30612,23.46938
2022-11-28,32.65306,50.0
2022-11-29,21.42857,30.61224
2022-11-30,21.42857,26.53061
